"ann"
"PSAC"	"Encodes the PsaC subunit of photosystem I."
"CP24..LHCB6"	"Lhcb6 protein (Lhcb6), light harvesting complex of photosystem II., Lhcb6 protein (Lhcb6), light harvesting complex of photosystem II."
"AtTSA1..TSA1"	"Contains a novel calcium-binding repeat sequence.  Binds TSK in vitro.  Localizes to small cytoplasmic vesicles in interphase cells.  In cells synchronized for cell division, TSA1 and TSK relocalize to ends of spindle microtubules that are ahead of separating chromatids during metaphase and anaphase of mitosis.  May be involved in mitosis together with TSK. Expressed preferentially in the flower and shoot apex.  Can form multimers., Contains a novel calcium-binding repeat sequence.  Binds TSK in vitro.  Localizes to small cytoplasmic vesicles in interphase cells.  In cells synchronized for cell division, TSA1 and TSK relocalize to ends of spindle microtubules that are ahead of separating chromatids during metaphase and anaphase of mitosis.  May be involved in mitosis together with TSK. Expressed preferentially in the flower and shoot apex.  Can form multimers."
"GAPB"	"Encodes chloroplast localized glyceraldehyde-3-phosphate dehydrogenase that can use both NADH and NADPH to reduce 1,3-diphosphate glycerate. It forms A2B2 heterotetramers with GapA forms of the GADPH enzyme. These complexes are active in the light under reducing conditions, but show reduced NADPH-dependent activity in response to oxidized thioredoxins and increased NAD(H)/NADP(H) ratios due to the formation of inactive A8B8 hexadecamers."
"ATNAS4..NAS4"	"Encodes a protein with nicotianamine synthase activity., Encodes a protein with nicotianamine synthase activity."
"ATBG1..BGL1..BGLU18"	"encodes a member of glycosyl hydrolase family 1, located in inducible ER bodies which were formed after wounding, required in inducible ER body formation, encodes a member of glycosyl hydrolase family 1, located in inducible ER bodies which were formed after wounding, required in inducible ER body formation, encodes a member of glycosyl hydrolase family 1, located in inducible ER bodies which were formed after wounding, required in inducible ER body formation"
"PLDALPHA4..PLDEPSILON"	"member of C2-PLD. subfamily Represents a phospholipase D (PLD) gene with four exons, hence it is a member of the alpha class.  Its amino acid sequence is quite different from other PLDs, therefore it might possess unique structural and/or catalytic properties., member of C2-PLD. subfamily Represents a phospholipase D (PLD) gene with four exons, hence it is a member of the alpha class.  Its amino acid sequence is quite different from other PLDs, therefore it might possess unique structural and/or catalytic properties."
"LAX3"	"Encodes an auxin influx carrier LAX3 (Like Aux1) that promotes lateral root emergence.  Auxin-induced expression of LAX3 in turn induces a selection of cell-wall-remodelling enzymes, which are likely to promote cell separation in advance of developing lateral root primordia."
"UGE3"	"Encodes a protein with UDP-D-glucose 4-epimerase activity. Involved in pollen development."
"AtMYB20..MYB20"	"Encodes a putative transcription factor (MYB20)., Encodes a putative transcription factor (MYB20)."
"ATGA2OX2..GA2OX2"	"Encodes a gibberellin 2-oxidase that acts on C-19 gibberellins. AtGA2OX2 expression is responsive to cytokinin and KNOX activities., Encodes a gibberellin 2-oxidase that acts on C-19 gibberellins. AtGA2OX2 expression is responsive to cytokinin and KNOX activities."
"ATTPPB..TPPB"	"homologous to the C-terminal part of microbial trehalose-6-phosphate phosphatases, homologous to the C-terminal part of microbial trehalose-6-phosphate phosphatases"
"ATSUC1..SUC1"	"Sucrose transporter gene induced in response to nematodes; member of Sucrose-proton symporter family., Sucrose transporter gene induced in response to nematodes; member of Sucrose-proton symporter family."
"ABCG25..ATABCG25"	"Encodes a plasma membrane localized ABC transporter involved in abscisic acid transport and responses., Encodes a plasma membrane localized ABC transporter involved in abscisic acid transport and responses."
"IAA6..SHY1"	"An extragenic dominant suppressor of the hy2 mutant phenotype. Also exhibits aspects of constitutive photomorphogenetic phenotype in the absence of hy2. Mutants have dominant leaf curling phenotype shortened hypocotyls and reduced apical hook. Induced by indole-3-acetic acid., An extragenic dominant suppressor of the hy2 mutant phenotype. Also exhibits aspects of constitutive photomorphogenetic phenotype in the absence of hy2. Mutants have dominant leaf curling phenotype shortened hypocotyls and reduced apical hook. Induced by indole-3-acetic acid."
"ATROPGEF12..MEE64..ROPGEF12"	"Encodes a member of KPP-like gene family, homolog of KPP (kinase partner protein) gene in tomato.  Also a member of the RopGEF (guanine nucleotide exchange factor) family, containing the novel PRONE domain (plant-specific Rop nucleotide exchanger), which is exclusively active towards members of the Rop subfamily. Coexpression of AtPRK2a with AtRopGEF12 resulted in isotropic pollen tube growth  Growth., Encodes a member of KPP-like gene family, homolog of KPP (kinase partner protein) gene in tomato.  Also a member of the RopGEF (guanine nucleotide exchange factor) family, containing the novel PRONE domain (plant-specific Rop nucleotide exchanger), which is exclusively active towards members of the Rop subfamily. Coexpression of AtPRK2a with AtRopGEF12 resulted in isotropic pollen tube growth  Growth., Encodes a member of KPP-like gene family, homolog of KPP (kinase partner protein) gene in tomato.  Also a member of the RopGEF (guanine nucleotide exchange factor) family, containing the novel PRONE domain (plant-specific Rop nucleotide exchanger), which is exclusively active towards members of the Rop subfamily. Coexpression of AtPRK2a with AtRopGEF12 resulted in isotropic pollen tube growth  Growth."
"ANAC030..VND7"	"Encodes a NAC-domain transcription factor with transcriptional activation activity that is involved in xylem formation. Induces transdifferentiation of various cells into protoxylem vessel elements. Located in the nucleus. Expression induced in the presence of auxin, cytokinin and brassinosteroids., Encodes a NAC-domain transcription factor with transcriptional activation activity that is involved in xylem formation. Induces transdifferentiation of various cells into protoxylem vessel elements. Located in the nucleus. Expression induced in the presence of auxin, cytokinin and brassinosteroids."
"ATMYB31..ATY13..MYB31"	"Member of the R2R3 factor gene family., Member of the R2R3 factor gene family., Member of the R2R3 factor gene family."
"ATMYB95..ATMYBCP66..MYB95"	"Encodes a putative transcription factor (MYB95)., Encodes a putative transcription factor (MYB95)., Encodes a putative transcription factor (MYB95)."
"AtEGL3..ATMYC.2..EGL1..EGL3"	"Mutant has reduced trichomes, anthocyanin, and seed coat mucilage and abnormally patterned stomates. Encodes a bHLH Transcription Factor 1. The protein is functionally redundant with GL3 and TT8 and interacts with TTG1, the myb proteins GL1, PAP1 and 2, CPC and TRY, and it will form heterodimers with GL3. Expression in N (non-hair cell forming) cell layers is negatively regulated by WER. Expression in H cells (hair cell forming) is promoted by CPC/TRY., Mutant has reduced trichomes, anthocyanin, and seed coat mucilage and abnormally patterned stomates. Encodes a bHLH Transcription Factor 1. The protein is functionally redundant with GL3 and TT8 and interacts with TTG1, the myb proteins GL1, PAP1 and 2, CPC and TRY, and it will form heterodimers with GL3. Expression in N (non-hair cell forming) cell layers is negatively regulated by WER. Expression in H cells (hair cell forming) is promoted by CPC/TRY., Mutant has reduced trichomes, anthocyanin, and seed coat mucilage and abnormally patterned stomates. Encodes a bHLH Transcription Factor 1. The protein is functionally redundant with GL3 and TT8 and interacts with TTG1, the myb proteins GL1, PAP1 and 2, CPC and TRY, and it will form heterodimers with GL3. Expression in N (non-hair cell forming) cell layers is negatively regulated by WER. Expression in H cells (hair cell forming) is promoted by CPC/TRY., Mutant has reduced trichomes, anthocyanin, and seed coat mucilage and abnormally patterned stomates. Encodes a bHLH Transcription Factor 1. The protein is functionally redundant with GL3 and TT8 and interacts with TTG1, the myb proteins GL1, PAP1 and 2, CPC and TRY, and it will form heterodimers with GL3. Expression in N (non-hair cell forming) cell layers is negatively regulated by WER. Expression in H cells (hair cell forming) is promoted by CPC/TRY."
"APG13..ATMURE..MURE..PDE316"	"Encodes AtMurE, a homolog of the bacterial MurE that catalyze the ATP-dependent formation of UDP-N-acetylmuramic acid-tripeptide in bacterial peptidoglycan biosynthesis.  Localized to plastids.  AtMurE is involved in chloroplast biogenesis., Encodes AtMurE, a homolog of the bacterial MurE that catalyze the ATP-dependent formation of UDP-N-acetylmuramic acid-tripeptide in bacterial peptidoglycan biosynthesis.  Localized to plastids.  AtMurE is involved in chloroplast biogenesis., Encodes AtMurE, a homolog of the bacterial MurE that catalyze the ATP-dependent formation of UDP-N-acetylmuramic acid-tripeptide in bacterial peptidoglycan biosynthesis.  Localized to plastids.  AtMurE is involved in chloroplast biogenesis., Encodes AtMurE, a homolog of the bacterial MurE that catalyze the ATP-dependent formation of UDP-N-acetylmuramic acid-tripeptide in bacterial peptidoglycan biosynthesis.  Localized to plastids.  AtMurE is involved in chloroplast biogenesis."
"ATGA3OX2..GA3OX2..GA4H"	"Encodes a protein with gibberellin 3 &#946;-hydroxylase activity. The protein was heterologously expressed in E. coli and shown to catalyze the hydroxylation of both GA9 and GA20., Encodes a protein with gibberellin 3 &#946;-hydroxylase activity. The protein was heterologously expressed in E. coli and shown to catalyze the hydroxylation of both GA9 and GA20., Encodes a protein with gibberellin 3 &#946;-hydroxylase activity. The protein was heterologously expressed in E. coli and shown to catalyze the hydroxylation of both GA9 and GA20."
"AtMYB103..MYB103"	"member of MYB3R- and R2R3- type MYB- encoding genes, member of MYB3R- and R2R3- type MYB- encoding genes"
"ATK1..KNAT2"	"A member of class I knotted1-like homeobox gene family (together with KNAT1). Similar to the knotted1 (kn1) homeobox gene of maize. KNAT2 acts synergistically with cytokinins and antagonistically with ethylene based on ectopic expression studies in different mutant backgrounds and hormone treatments. In addition, KNAT2 is negatively regulated by AS and YABBY genes. KNAT2 is strongly expressed in the shoot apex of seedlings, while in mature plants the gene is primarily expressed in flowers and inflorescence stems., A member of class I knotted1-like homeobox gene family (together with KNAT1). Similar to the knotted1 (kn1) homeobox gene of maize. KNAT2 acts synergistically with cytokinins and antagonistically with ethylene based on ectopic expression studies in different mutant backgrounds and hormone treatments. In addition, KNAT2 is negatively regulated by AS and YABBY genes. KNAT2 is strongly expressed in the shoot apex of seedlings, while in mature plants the gene is primarily expressed in flowers and inflorescence stems."
"ATMYB122..MYB122"	"Encodes a putative transcription factor, member of the R2R3 factor gene family (MYB122)., Encodes a putative transcription factor, member of the R2R3 factor gene family (MYB122)."
"AtNPF2.13..NPF2.13..NRT1.7"	"Encodes a low affinity nitrate transporter NRT1.7.  Expressed in phloem.  Responsible for source-to-sink remobilization of nitrate., Encodes a low affinity nitrate transporter NRT1.7.  Expressed in phloem.  Responsible for source-to-sink remobilization of nitrate., Encodes a low affinity nitrate transporter NRT1.7.  Expressed in phloem.  Responsible for source-to-sink remobilization of nitrate."
"ACH1..ATNRT2.1..ATNRT2.1..LIN1..NRT2..NRT2.1..NRT2.1..NRT2.1AT"	"High-affinity nitrate transporter. Up-regulated by nitrate. Functions as a repressor of lateral root initiation independently of nitrate uptake., High-affinity nitrate transporter. Up-regulated by nitrate. Functions as a repressor of lateral root initiation independently of nitrate uptake., High-affinity nitrate transporter. Up-regulated by nitrate. Functions as a repressor of lateral root initiation independently of nitrate uptake., High-affinity nitrate transporter. Up-regulated by nitrate. Functions as a repressor of lateral root initiation independently of nitrate uptake., High-affinity nitrate transporter. Up-regulated by nitrate. Functions as a repressor of lateral root initiation independently of nitrate uptake., High-affinity nitrate transporter. Up-regulated by nitrate. Functions as a repressor of lateral root initiation independently of nitrate uptake., High-affinity nitrate transporter. Up-regulated by nitrate. Functions as a repressor of lateral root initiation independently of nitrate uptake., High-affinity nitrate transporter. Up-regulated by nitrate. Functions as a repressor of lateral root initiation independently of nitrate uptake."
"AtNPF7.3..NPF7.3..NRT1.5"	"Transmembrane nitrate transporter. Involved in xylem transport of nitrate from root to shoot. Induced in response to nitrate. Not involved in nitrate uptake. expressed in root pericycle cells., Transmembrane nitrate transporter. Involved in xylem transport of nitrate from root to shoot. Induced in response to nitrate. Not involved in nitrate uptake. expressed in root pericycle cells., Transmembrane nitrate transporter. Involved in xylem transport of nitrate from root to shoot. Induced in response to nitrate. Not involved in nitrate uptake. expressed in root pericycle cells."
"ATGA2OX1..GA2OX1"	"Encodes a gibberellin 2-oxidase that acts on C19 gibberellins., Encodes a gibberellin 2-oxidase that acts on C19 gibberellins."
"EMB173..FIS1..MEA..SDG5"	"Encodes a putative transcription factor MEDEA (MEA) that negatively regulates seed development in the absence of fertilization. Mutations in this locus result in embryo lethality.  MEA is a Polycomb group gene that is imprinted in the endosperm.  The maternal allele is expressed and the paternal allele is silent.  MEA is controlled by DEMETER (DME), a DNA glycosylase required to activate MEA expression, and METHYLTRANSFERASE I (MET1), which maintains CG methylation at the MEA locus. MEA is  involved in the negative regulation of its own imprinted gene expression; the effect is not only allele-specific but also  dynamically regulated during seed development. In the ovule, the MEA transcripts  are accumulated at their highest level before fertilization  and gradually decrease after fertilization, Encodes a putative transcription factor MEDEA (MEA) that negatively regulates seed development in the absence of fertilization. Mutations in this locus result in embryo lethality.  MEA is a Polycomb group gene that is imprinted in the endosperm.  The maternal allele is expressed and the paternal allele is silent.  MEA is controlled by DEMETER (DME), a DNA glycosylase required to activate MEA expression, and METHYLTRANSFERASE I (MET1), which maintains CG methylation at the MEA locus. MEA is  involved in the negative regulation of its own imprinted gene expression; the effect is not only allele-specific but also  dynamically regulated during seed development. In the ovule, the MEA transcripts  are accumulated at their highest level before fertilization  and gradually decrease after fertilization, Encodes a putative transcription factor MEDEA (MEA) that negatively regulates seed development in the absence of fertilization. Mutations in this locus result in embryo lethality.  MEA is a Polycomb group gene that is imprinted in the endosperm.  The maternal allele is expressed and the paternal allele is silent.  MEA is controlled by DEMETER (DME), a DNA glycosylase required to activate MEA expression, and METHYLTRANSFERASE I (MET1), which maintains CG methylation at the MEA locus. MEA is  involved in the negative regulation of its own imprinted gene expression; the effect is not only allele-specific but also  dynamically regulated during seed development. In the ovule, the MEA transcripts  are accumulated at their highest level before fertilization  and gradually decrease after fertilization, Encodes a putative transcription factor MEDEA (MEA) that negatively regulates seed development in the absence of fertilization. Mutations in this locus result in embryo lethality.  MEA is a Polycomb group gene that is imprinted in the endosperm.  The maternal allele is expressed and the paternal allele is silent.  MEA is controlled by DEMETER (DME), a DNA glycosylase required to activate MEA expression, and METHYLTRANSFERASE I (MET1), which maintains CG methylation at the MEA locus. MEA is  involved in the negative regulation of its own imprinted gene expression; the effect is not only allele-specific but also  dynamically regulated during seed development. In the ovule, the MEA transcripts  are accumulated at their highest level before fertilization  and gradually decrease after fertilization"
"ATBXL2..BXL2"	"encodes a protein similar to a beta-xylosidase located in the extracellular matrix. This is a member of glycosyl hydrolase family 3 and has six other closely related members., encodes a protein similar to a beta-xylosidase located in the extracellular matrix. This is a member of glycosyl hydrolase family 3 and has six other closely related members."
"ANAC007..EMB2749..NAC007..VND4"	"Encodes a NAC-domain transcription factor. Expressed in the vascular tissue., Encodes a NAC-domain transcription factor. Expressed in the vascular tissue., Encodes a NAC-domain transcription factor. Expressed in the vascular tissue., Encodes a NAC-domain transcription factor. Expressed in the vascular tissue."
"LCR78..PDF1.4"	"Predicted to encode a PR (pathogenesis-related) protein.  Belongs to the plant defensin (PDF) family with the following members: At1g75830/PDF1.1, At5g44420/PDF1.2a, At2g26020/PDF1.2b, At5g44430/PDF1.2c, At2g26010/PDF1.3, At1g19610/PDF1.4, At1g55010/PDF1.5, At2g02120/PDF2.1, At2g02100/PDF2.2, At2g02130/PDF2.3, At1g61070/PDF2.4, At5g63660/PDF2.5, At2g02140/PDF2.6, At5g38330/PDF3.1 and At4g30070/PDF3.2., Predicted to encode a PR (pathogenesis-related) protein.  Belongs to the plant defensin (PDF) family with the following members: At1g75830/PDF1.1, At5g44420/PDF1.2a, At2g26020/PDF1.2b, At5g44430/PDF1.2c, At2g26010/PDF1.3, At1g19610/PDF1.4, At1g55010/PDF1.5, At2g02120/PDF2.1, At2g02100/PDF2.2, At2g02130/PDF2.3, At1g61070/PDF2.4, At5g63660/PDF2.5, At2g02140/PDF2.6, At5g38330/PDF3.1 and At4g30070/PDF3.2."
"ATLFNR2..FNR2..LFNR2"	"Encodes a leaf-type ferredoxin:NADP(H) oxidoreductase.  It is present in both chloroplast stroma and thylakoid membranes but is more abundant in the stroma, Encodes a leaf-type ferredoxin:NADP(H) oxidoreductase.  It is present in both chloroplast stroma and thylakoid membranes but is more abundant in the stroma, Encodes a leaf-type ferredoxin:NADP(H) oxidoreductase.  It is present in both chloroplast stroma and thylakoid membranes but is more abundant in the stroma"
"RTM1"	"Specifically restrict the long-distance movement of tobacco etch potyvirus (TEV) without involving either hypersensitive cell death or systemic acquired resistance"
"RKL1"	"Arabidopsis thaliana receptor-like protein kinase (RKL1) gene"
"DTA4"	"Identified as target of the AGL15 binding motif CArG."
"SDE3"	"Encodes a protein with similarity to RNA helicases. Mutants are defective in post-transcriptional gene silencing."
"CVP2"	"Encodes an inositol polyphosphate 5' phosphatase (5PTase) that is required for the proper recruitment of cells into developing vascular tissue in leaves and cotyledons. It is most similar to Type I 5PTases that are known to cleave a phosphate from IP3 or IP4. cvp2 mutants have elevated levels of IP3 and are hypersensitive to ABA in seed germination assays."
"OBP2..URP3"	"A member of the DOF transcription factors. Prominently expressed in the phloem of leaves and other organs. Expression is induced by wounding, MeJA and insect feeding. Upregulates glucosinolate biosynthesis., A member of the DOF transcription factors. Prominently expressed in the phloem of leaves and other organs. Expression is induced by wounding, MeJA and insect feeding. Upregulates glucosinolate biosynthesis."
"KCS3"	"Encodes KCS3, a member of the 3-ketoacyl-CoA synthase family involved in the biosynthesis of VLCFA (very long chain fatty acids)."
"ATICS2..ICS2"	"Encodes a protein with isochorismate synthase activity involved in phylloquinone biosynthesis. Mutant studies of this gene's function suggest that its function is redundant with that of ICS1 (AT1G7410)., Encodes a protein with isochorismate synthase activity involved in phylloquinone biosynthesis. Mutant studies of this gene's function suggest that its function is redundant with that of ICS1 (AT1G7410)."
"AtMYB47..MYB47"	"Member of the R2R3 factor gene family., Member of the R2R3 factor gene family."
"PKS2"	"Encodes phytochrome kinase substrate 2.  PKS proteins are critical for hypocotyl phototropism. Forms a complex with Phot1, Phot2 and NPH3."
"ATSBT1.1..SBTI1.1"	"Encodes AtSBT1.1, a subtilisin-like serine protease.  Cleaves the phytosulfokine AtPSK4, a growth promoting peptide., Encodes AtSBT1.1, a subtilisin-like serine protease.  Cleaves the phytosulfokine AtPSK4, a growth promoting peptide."
"PSAO"	"Encodes subunit O of photosystem I."
"ATGA3OX1..GA3OX1..GA4"	"Involved in later steps of the gibberellic acid biosynthetic pathway. Activated by AGAMOUS in a cal-1, ap1-1 background. Deletion of 208 bp from -1016 to -809  (&#916;-808) resulted in loss of GA-negative feedback (this sequence, which contains a 43-bp sequence GNFEI, was shown to be sufficient for GA-negative feedback)., Involved in later steps of the gibberellic acid biosynthetic pathway. Activated by AGAMOUS in a cal-1, ap1-1 background. Deletion of 208 bp from -1016 to -809  (&#916;-808) resulted in loss of GA-negative feedback (this sequence, which contains a 43-bp sequence GNFEI, was shown to be sufficient for GA-negative feedback)., Involved in later steps of the gibberellic acid biosynthetic pathway. Activated by AGAMOUS in a cal-1, ap1-1 background. Deletion of 208 bp from -1016 to -809  (&#916;-808) resulted in loss of GA-negative feedback (this sequence, which contains a 43-bp sequence GNFEI, was shown to be sufficient for GA-negative feedback)."
"PETE1"	"One of two Arabidopsis plastocyanin genes. Expressed at 1/10th level of PETE2. Does not respond to increased copper levels and is thought to be the isoform that participates in electron transport under copper-limiting conditions."
"ATCPSF30..CPSF30"	"Encodes AtCPSF30, the 30-KDa subunit of cleavage and polyadenylation specificity factor. AtCPSF30 is a probable processing endonuclease. Nucleus-localized RNA binding  protein capable of  interacting with itself and with calmodulin. Its RNA-binding  activity is inhibited by calmodulin in a calcium-dependent fashion., Encodes AtCPSF30, the 30-KDa subunit of cleavage and polyadenylation specificity factor. AtCPSF30 is a probable processing endonuclease. Nucleus-localized RNA binding  protein capable of  interacting with itself and with calmodulin. Its RNA-binding  activity is inhibited by calmodulin in a calcium-dependent fashion."
"ATNRAMP6..NRAMP6"	"member of Nramp2 family, member of Nramp2 family"
"NIP6..NIP6.1..NLM7"	"Encodes a protein with boron transporter activity. It helps to preferentially direct boron to young developing tissues in the shoot, such as immature leaves, under low boron conditions. This boron channel appears to be impermeable to water, unlike the closely related NIP5;1 boron transporter. This protein also allows the transport of glycerol, urea, and formimide but not larger uncharged solutes such as arabitol and sucrose when it is expressed heterologously., Encodes a protein with boron transporter activity. It helps to preferentially direct boron to young developing tissues in the shoot, such as immature leaves, under low boron conditions. This boron channel appears to be impermeable to water, unlike the closely related NIP5;1 boron transporter. This protein also allows the transport of glycerol, urea, and formimide but not larger uncharged solutes such as arabitol and sucrose when it is expressed heterologously., Encodes a protein with boron transporter activity. It helps to preferentially direct boron to young developing tissues in the shoot, such as immature leaves, under low boron conditions. This boron channel appears to be impermeable to water, unlike the closely related NIP5;1 boron transporter. This protein also allows the transport of glycerol, urea, and formimide but not larger uncharged solutes such as arabitol and sucrose when it is expressed heterologously."
"ZCF125"	"Encodes a kinesin-like protein."
"ATGSTF4..GST31..GSTF4"	"Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002)., Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002)., Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002)."
"AST56..SULTR2.2"	"cDNA encoding a sulfate transporter., cDNA encoding a sulfate transporter."
"PHO1.H1"	"Encodes PHO1;H1, a member of the PHO1 family.  Involved in inorganic phosphate (Pi) transport and homeostasis.  Complements pho1 mutation."
"DEP"	"Encodes DESPIERTO (DEP), a RING finger protein involved in ABA sensitivity during seed development.  Regulates the expression of ABI3, and produces a complete loss of dormancy when mutated."
"PAC"	"The pale cress (pac) mutant affects chloroplast and leaf development; mutants are ABA-deficient and accumulate lower levels of carotenoids and chlorophyll compared to wild type. PAC is probably involved in chloroplast mRNA maturation. Three alternative transcripts of this gene exist."
"ATCHX16..CHX16"	"member of Putative Na+/H+ antiporter family, member of Putative Na+/H+ antiporter family"
"ATWRKY56..WRKY56"	"member of WRKY Transcription Factor; Group II-c, member of WRKY Transcription Factor; Group II-c"
"AtMYB93..MYB93"	"Member of the R2R3 factor gene family., Member of the R2R3 factor gene family."
"LACS2..LRD2"	"Encodes a long chain acyl-CoA synthetase that catalyzes the synthesis of omega-hydroxy fatty acyl-CoA intermediates in the pathway to cutin synthesis. Required for repression of lateral root formation., Encodes a long chain acyl-CoA synthetase that catalyzes the synthesis of omega-hydroxy fatty acyl-CoA intermediates in the pathway to cutin synthesis. Required for repression of lateral root formation."
"CYP96A8"	"member of CYP96A"
"FUT7"	"member of Xyloglucan fucosyltransferase family"
"CPK29"	"member of Calcium Dependent Protein Kinase"
"ANAC026..VND5"	"Encodes a NAC-domain transcription factor. Expressed in the vascular tissue., Encodes a NAC-domain transcription factor. Expressed in the vascular tissue."
"ATCLV1..CLV1..FAS3..FLO5"	"Putative receptor kinase with an extracellular leucine-rich domain. Controls shoot and floral meristem size, and contributes to establish and maintain floral meristem identity. Negatively regulated by KAPP (kinase-associated protein phosphatase). CLV3 peptide binds directly CLV1 ectodomain., Putative receptor kinase with an extracellular leucine-rich domain. Controls shoot and floral meristem size, and contributes to establish and maintain floral meristem identity. Negatively regulated by KAPP (kinase-associated protein phosphatase). CLV3 peptide binds directly CLV1 ectodomain., Putative receptor kinase with an extracellular leucine-rich domain. Controls shoot and floral meristem size, and contributes to establish and maintain floral meristem identity. Negatively regulated by KAPP (kinase-associated protein phosphatase). CLV3 peptide binds directly CLV1 ectodomain., Putative receptor kinase with an extracellular leucine-rich domain. Controls shoot and floral meristem size, and contributes to establish and maintain floral meristem identity. Negatively regulated by KAPP (kinase-associated protein phosphatase). CLV3 peptide binds directly CLV1 ectodomain."
"ATMC8..AtMCP2e..MC8..MCP2e"	"Encodes a metacaspase (cysteine-type endopeptidase) that is involved in promoting programmed cell death in response to hydrogen peroxide (H2O2), UV light, and methyl viologen (MV). Transcript levels rise in response to UV-C, H2O2, and MV. In vitro assays demonstrate that this enzyme has a preference for cleaving after an arginine residue, and it has a pH optimum of 8.0., Encodes a metacaspase (cysteine-type endopeptidase) that is involved in promoting programmed cell death in response to hydrogen peroxide (H2O2), UV light, and methyl viologen (MV). Transcript levels rise in response to UV-C, H2O2, and MV. In vitro assays demonstrate that this enzyme has a preference for cleaving after an arginine residue, and it has a pH optimum of 8.0., Encodes a metacaspase (cysteine-type endopeptidase) that is involved in promoting programmed cell death in response to hydrogen peroxide (H2O2), UV light, and methyl viologen (MV). Transcript levels rise in response to UV-C, H2O2, and MV. In vitro assays demonstrate that this enzyme has a preference for cleaving after an arginine residue, and it has a pH optimum of 8.0., Encodes a metacaspase (cysteine-type endopeptidase) that is involved in promoting programmed cell death in response to hydrogen peroxide (H2O2), UV light, and methyl viologen (MV). Transcript levels rise in response to UV-C, H2O2, and MV. In vitro assays demonstrate that this enzyme has a preference for cleaving after an arginine residue, and it has a pH optimum of 8.0."
"CYP71B28"	"putative cytochrome P450"
"CYP71B29"	"putative cytochrome P450"
"BLT"	"Encodes BRANCHLESS TRICHOME (BLT) involved in trichome development.  A large portion of the internal amino acid sequence of BLT is predicted to form a coiled-coil domain.  BLT mutants form branchless trichomes with blunt tips."
"AMT1.2..ATAMT1.2"	"encodes an ammonium transporter protein believed to act as a high affinity transporter. It is expressed in the root, primarily in endodermal and cortical cells, and contributes to ammonium uptake in the root., encodes an ammonium transporter protein believed to act as a high affinity transporter. It is expressed in the root, primarily in endodermal and cortical cells, and contributes to ammonium uptake in the root."
"APL..WDY"	"Encodes gene product that is required for several aspects of phloem development in the root: (1) the specific divisions organizing the phloem pole, (2) sieve element differentiation and (3) the expression of a companion-specific gene.  Mutant has a defect in the organization of phloem poles in the root. apl seedlings have a short, determinate root with only occasional lateral branches., Encodes gene product that is required for several aspects of phloem development in the root: (1) the specific divisions organizing the phloem pole, (2) sieve element differentiation and (3) the expression of a companion-specific gene.  Mutant has a defect in the organization of phloem poles in the root. apl seedlings have a short, determinate root with only occasional lateral branches."
"GRP3S"	"glycine-rich protein 3 short isoform (GRP3S) mRNA, complete"
"ARFB1A..ATARFB1A"	"A member of ARF GTPase family. A thaliana has 21 members of this family, known to be essential for vesicle coating and uncoating and functions in GTP-binding. Gene encoding ADP-ribosylation factor and similar to ADP-ribosylation factor (GI:861205) (Chlamydomonas reinhardtii), other ARFs and ARF-like proteins., A member of ARF GTPase family. A thaliana has 21 members of this family, known to be essential for vesicle coating and uncoating and functions in GTP-binding. Gene encoding ADP-ribosylation factor and similar to ADP-ribosylation factor (GI:861205) (Chlamydomonas reinhardtii), other ARFs and ARF-like proteins."
"AtGDU4..GDU4"	"Encodes a member of the GDU (glutamine dumper) family proteins involved in amino acid export: At4g31730 (GDU1), At4g25760 (GDU2), At5g57685 (GDU3), At2g24762 (GDU4), At5g24920 (GDU5), At3g30725 (GDU6) and At5g38770 (GDU7)., Encodes a member of the GDU (glutamine dumper) family proteins involved in amino acid export: At4g31730 (GDU1), At4g25760 (GDU2), At5g57685 (GDU3), At2g24762 (GDU4), At5g24920 (GDU5), At3g30725 (GDU6) and At5g38770 (GDU7)."
"AGT..AGT1..SGAT"	"Encodes a peroxisomal photorespiratory enzyme that catalyzes transamination reactions with multiple substrates. It is involved in photorespiration., Encodes a peroxisomal photorespiratory enzyme that catalyzes transamination reactions with multiple substrates. It is involved in photorespiration., Encodes a peroxisomal photorespiratory enzyme that catalyzes transamination reactions with multiple substrates. It is involved in photorespiration."
"FLA6"	"fasciclin-like arabinogalactan-protein 6 (Fla6)"
"ATEM6..EM6..GEA6"	"Encodes a group 1 LEA gene that is activated by direct binding of ABI5 to its promoter and is involved in response to ABA. Is required for normal seed development. Involved in regulating the timing of dessication tolerance and rate of water loss during seed maturation., Encodes a group 1 LEA gene that is activated by direct binding of ABI5 to its promoter and is involved in response to ABA. Is required for normal seed development. Involved in regulating the timing of dessication tolerance and rate of water loss during seed maturation., Encodes a group 1 LEA gene that is activated by direct binding of ABI5 to its promoter and is involved in response to ABA. Is required for normal seed development. Involved in regulating the timing of dessication tolerance and rate of water loss during seed maturation."
